# This Data Feed provides certain approximate geofeed data from a subset
# of Meta sources. The data included in this Data Feed may be used only
# for content delivery network services to improve service and
# performance for the benefit of Meta users. Additionally, your access
# and use of this Data Feed must comply with all applicable laws, rules,
# and regulations. You may not access or use this Data Feed if you are
# prohibited from receiving products, services, or software under
# applicable law. Meta reserves all rights not expressly granted to you.
# Meta may change, withdraw, terminate availability to, testing of
# and/or use of, or discontinue the Data Feed (or any portion thereof)
# at any time and in our sole discretion, with or without notice to you.
# 
# THE DATA FEED IS PROVIDED “AS IS” AND “AS AVAILABLE”. META MAKES NO
# GUARANTEES THAT THE DATA FEED WILL BE ERROR-FREE. TO THE EXTENT
# PERMITTED BY LAW, META DISCLAIMS ALL WARRANTIES, WHETHER EXPRESS OR
# IMPLIED, INCLUDING THE IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS
# FOR A PARTICULAR PURPOSE, TITLE, AND NON-INFRINGEMENT.
# 
# META’S LIABILITY IS LIMITED TO THE FULLEST EXTENT PERMITTED BY
# APPLICABLE LAW, AND UNDER NO CIRCUMSTANCE WILL META OR ITS AFFILIATES
# BE LIABLE FOR ANY LOST PROFITS, REVENUES, INFORMATION, OR DATA, OR
# CONSEQUENTIAL, SPECIAL, INDIRECT, EXEMPLARY, PUNITIVE, OR INCIDENTAL
# DAMAGES ARISING OUT OF OR RELATED TO THE DATA FEED, EVEN IF META HAS
# BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. META’S AGGREGATE
# LIABILITY ARISING OUT OF OR RELATING TO THE DATA FEED WILL NOT EXCEED
# $100. THESE LIMITATIONS WILL APPLY NOTWITHSTANDING THE FAILURE OF THE
# ESSENTIAL PURPOSE OF ANY REMEDY.
# 
# Meta reserves the right to amend these Terms at any time. Your
# continued use of or access to the Data Feed after any such amendment
# will constitute your binding agreement to these terms as amended. If
# Meta fails to enforce any of these Terms, it will not be considered a
# waiver.
# 
# These Terms will be governed and construed under the laws of the State
# of California without regard to conflicts of law provisions. Any suit
# or proceeding arising out of or relating to these terms will be
# brought in the federal and/or state courts, as applicable, in San
# Mateo County, California, and each party irrevocably submits to the
# jurisdiction and venue of such courts.
# 
# Publication date: Fri Oct 17 2025
2a03:2880:f262::/48,US,US-TX,Houston,
163.70.140.0/24,IN,IN-TG,Hyderabad,
2a03:2880:f09e::/48,IN,IN-TG,Hyderabad,
2a03:2880:f185::/48,IN,IN-TG,Hyderabad,
2a03:2880:f285::/48,IN,IN-TG,Hyderabad,
57.144.122.0/23,IN,IN-TG,Hyderabad,
2a03:2880:f33d::/48,IN,IN-TG,Hyderabad,
69.171.251.0/24,US,US-VA,Ashburn,
69.171.252.0/24,US,US-VA,Ashburn,
69.171.246.0/24,US,US-VA,Ashburn,
2a03:2880:20ff::/48,US,US-VA,Ashburn,
2a03:2880:26ff::/48,US,US-VA,Ashburn,
31.13.66.0/24,US,US-VA,Ashburn,
2a03:2880:f003::/48,US,US-VA,Ashburn,
2a03:2880:f103::/48,US,US-VA,Ashburn,
2a03:2880:f203::/48,US,US-VA,Ashburn,
157.240.229.0/24,US,US-VA,Ashburn,
57.141.0.0/24,US,US-VA,Ashburn,
57.141.1.0/24,US,US-VA,Ashburn,
2a03:2880:f800::/48,US,US-VA,Ashburn,
2a03:2880:f801::/48,US,US-VA,Ashburn,
57.144.188.0/23,KR,,Seoul,
2a03:2880:f35e::/48,KR,,Seoul,
157.240.224.0/24,UA,,Kyiv,
2a03:2880:f068::/48,UA,,Kyiv,
2a03:2880:f165::/48,UA,,Kyiv,
2a03:2880:f265::/48,UA,,Kyiv,
69.63.180.0/24,US,US-CA,Santa Clara,
2a03:2880:cff::/48,US,US-CA,Santa Clara,
2a03:2880:55ff::/48,US,US-CA,Santa Clara,
157.240.238.0/24,TR,,Istanbul,
2a03:2880:f16f::/48,TR,,Istanbul,
2a03:2880:f26f::/48,TR,,Istanbul,
2a03:2880:f077::/48,TR,,Istanbul,
57.144.126.0/23,TR,,Istanbul,
2a03:2880:f33f::/48,TR,,Istanbul,
157.240.209.0/24,JP,,Osaka,
2a03:2880:f04e::/48,JP,,Osaka,
2a03:2880:f24e::/48,JP,,Osaka,
2a03:2880:f14e::/48,JP,,Osaka,
102.132.104.0/24,ZA,,Johannesburg,
2a03:2880:f01c::/48,ZA,,Johannesburg,
2a03:2880:f114::/48,ZA,,Johannesburg,
2a03:2880:f214::/48,ZA,,Johannesburg,
69.171.242.0/24,US,US-MO,Kansas City,
2a03:2880:1fff::/48,US,US-MO,Kansas City,
69.171.237.0/24,US,US-ID,Kuna,
2a03:2880:8ff::/48,US,US-ID,Kuna,
163.70.137.0/24,MY,,Kuala Lumpur,
2a03:2880:f098::/48,MY,,Kuala Lumpur,
2a03:2880:f17f::/48,MY,,Kuala Lumpur,
2a03:2880:f27f::/48,MY,,Kuala Lumpur,
163.70.132.0/24,MY,,Kuala Lumpur,
157.240.236.0/24,MY,,Kuala Lumpur,
2a03:2880:f08a::/48,MY,,Kuala Lumpur,
2a03:2880:f17a::/48,MY,,Kuala Lumpur,
2a03:2880:f27a::/48,MY,,Kuala Lumpur,
31.13.70.0/24,US,US-CA,Los Angeles,
2a03:2880:f10d::/48,US,US-CA,Los Angeles,
2a03:2880:f20d::/48,US,US-CA,Los Angeles,
2a03:2880:f00d::/48,US,US-CA,Los Angeles,
157.240.11.0/24,US,US-CA,Los Angeles,
57.144.202.0/23,US,US-CA,Los Angeles,
2a03:2880:f365::/48,US,US-CA,Los Angeles,
173.252.110.0/24,US,US-OH,New Albany,
2a03:2880:72ff::/48,US,US-OH,New Albany,
69.171.249.0/24,US,US-VA,Ashburn,
2a03:2880:27ff::/48,US,US-VA,Ashburn,
31.13.71.0/24,US,US-NY,New York,
2a03:2880:f012::/48,US,US-NY,New York,
2a03:2880:f112::/48,US,US-NY,New York,
2a03:2880:f212::/48,US,US-NY,New York,
157.240.241.0/24,US,US-NY,New York,
57.144.180.0/23,US,US-NY,New York,
2a03:2880:f35a::/48,US,US-NY,New York,
57.144.238.0/23,GB,,London,
